hex_id,north_east_neighbor,north_neighbor,north_west_neighbor,south_east_neighbor,south_neighbor,south_west_neighbor,east,north_east,north_west,south_east,south_west,west
221,205.0,222.0,172.0,203.0,219.0,171.0,"[-73.71333306912481, 40.73785398804885]","[-73.71999973889982, 40.749400998816434]","[-73.73333307844982, 40.749400998816434]","[-73.71999973889982, 40.726306977281254]","[-73.73333307844982, 40.726306977281254]","[-73.73999974822482, 40.73785398804885]"
222,,,173.0,205.0,221.0,172.0,"[-73.71333306912481, 40.76094800958402]","[-73.71999973889982, 40.772495020351606]","[-73.73333307844982, 40.772495020351606]","[-73.71999973889982, 40.749400998816434]","[-73.73333307844982, 40.749400998816434]","[-73.73999974822482, 40.76094800958402]"
223,207.0,224.0,174.0,,,,"[-74.21333330224998, 40.4953667619295]","[-74.21999997202498, 40.5069137726971]","[-74.23333331157498, 40.5069137726971]","[-74.21999997202498, 40.48381975116192]","[-74.23333331157498, 40.48381975116192]","[-74.23999998134998, 40.4953667619295]"
224,244.0,225.0,175.0,207.0,223.0,174.0,"[-74.21333330224998, 40.51846078346468]","[-74.21999997202498, 40.53000779423227]","[-74.23333331157498, 40.53000779423227]","[-74.21999997202498, 40.5069137726971]","[-74.23333331157498, 40.5069137726971]","[-74.23999998134998, 40.51846078346468]"
225,245.0,226.0,176.0,244.0,224.0,175.0,"[-74.21333330224998, 40.541554804999855]","[-74.21999997202498, 40.55310181576744]","[-74.23333331157498, 40.55310181576744]","[-74.21999997202498, 40.53000779423227]","[-74.23333331157498, 40.53000779423227]","[-74.23999998134998, 40.541554804999855]"
226,246.0,,,245.0,225.0,176.0,"[-74.21333330224998, 40.564648826535034]","[-74.21999997202498, 40.57619583730262]","[-74.23333331157498, 40.57619583730262]","[-74.21999997202498, 40.55310181576744]","[-74.23333331157498, 40.55310181576744]","[-74.23999998134998, 40.564648826535034]"
227,28.0,228.0,202.0,27.0,8.0,201.0,"[-73.93333317169989, 40.795589041886785]","[-73.93999984147489, 40.80713605265437]","[-73.9533331810249, 40.80713605265437]","[-73.93999984147489, 40.78404203111919]","[-73.9533331810249, 40.78404203111919]","[-73.9599998507999, 40.795589041886785]"
228,29.0,229.0,204.0,28.0,227.0,202.0,"[-73.93333317169989, 40.81868306342196]","[-73.93999984147489, 40.830230074189544]","[-73.9533331810249, 40.830230074189544]","[-73.93999984147489, 40.80713605265437]","[-73.9533331810249, 40.80713605265437]","[-73.9599998507999, 40.81868306342196]"
229,30.0,230.0,,29.0,228.0,204.0,"[-73.93333317169989, 40.84177708495713]","[-73.93999984147489, 40.85332409572472]","[-73.9533331810249, 40.85332409572472]","[-73.93999984147489, 40.830230074189544]","[-73.9533331810249, 40.830230074189544]","[-73.9599998507999, 40.84177708495713]"
230,31.0,,,30.0,229.0,,"[-73.93333317169989, 40.86487110649231]","[-73.93999984147489, 40.876418117259895]","[-73.9533331810249, 40.876418117259895]","[-73.93999984147489, 40.85332409572472]","[-73.9533331810249, 40.85332409572472]","[-73.9599998507999, 40.86487110649231]"
